,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
WDC,-5.545968,13.339754,3.2687454,4,9,-1,9
WEC,12.874621,-12.8831215,-8.042017,17,10,5,12
WELL,3.0810235,-12.953086,1.3716966,16,2,8,6
WFC,-17.364225,-5.3400426,6.026012,9,7,7,8
WM,7.5386963,2.3524928,1.3788259,3,5,-1,13
WMB,-11.116091,-12.561437,-6.208013,11,4,9,14
WMT,8.5047,-2.1060808,5.500233,21,5,14,0
WRB,-13.871806,-10.44411,10.251279,14,0,3,10
WRK,-9.04292,5.010541,-3.8495698,8,3,6,11
WST,11.431279,11.985266,-3.1483216,0,1,0,4
WTW,4.7816987,5.97061,9.5767765,3,5,-1,13
WY,-1.5614729,-0.1923265,0.75899106,7,3,6,11
WYNN,-4.4403467,-12.149631,3.7442095,6,14,1,1
XEL,9.736658,-12.267295,-9.534623,17,10,5,12
XOM,-15.911973,-11.978985,-3.9823675,11,4,9,14
XYL,-3.9649549,2.8395195,4.490503,7,3,6,11
YUM,2.0914106,0.98587734,-1.8713142,5,13,2,3
ZBH,7.3513403,7.82272,-8.903011,1,1,0,4
ZBRA,-0.9488628,11.500971,-1.1439943,4,12,2,9
ZTS,9.825181,9.863924,-2.0001073,0,1,0,4
