,0,1,2,optics_label,kmeans_label,dbscan_label,hierarchy_label
CPB,13.013075,-1.4358366,1.7044171,15,6,11,2
CPRT,2.0150015,9.777585,0.305603,4,12,2,9
CPT,5.183308,-16.292105,-0.30771238,16,2,8,6
CRL,11.513723,10.9052725,-0.46879697,0,1,0,4
CRM,3.8862581,16.476862,-0.9673046,4,12,2,9
CSCO,-0.8643423,10.449241,5.799751,19,9,15,0
CSGP,4.671787,12.452161,-0.21648613,4,12,2,9
CSX,-7.0015707,6.199788,8.084439,20,9,16,0
CTAS,1.8818728,4.261788,0.9877785,5,13,2,3
CTLT,11.040796,11.581873,0.73459274,0,1,0,4
CTRA,-14.56461,-7.4104533,-5.943253,11,4,9,14
CTSH,1.4847883,6.1225324,-1.863873,5,13,2,3
CVS,11.14865,0.4074534,-9.250104,-1,1,-1,4
CVX,-14.21363,-11.6397915,-4.3434973,11,4,9,14
CZR,-4.2562575,-8.7866,1.8309333,6,14,1,1
D,11.162627,-11.548832,-5.296493,17,10,5,12
DAL,-8.414563,-10.074733,1.5939664,6,14,1,1
DD,-6.421106,2.2624536,-2.171865,8,3,6,11
DE,-10.062981,1.5634639,1.2624972,7,3,6,11
DECK,3.6809328,-4.2407575,2.0846982,12,14,10,5
DFS,-12.367167,-2.7175977,6.301854,14,0,3,10
DG,7.572024,-3.3423977,5.536772,21,5,14,0
DGX,12.24223,5.4021564,-1.485882,-1,1,0,4
DHI,-3.6609523,5.6295323,-10.212315,-1,13,-1,3
DHR,13.403401,10.336369,-2.7448168,0,1,0,4
DIS,-3.1689177,-7.4426875,-1.3075109,22,11,18,0
DLR,9.811232,-15.970149,2.5779173,16,2,8,6
DLTR,6.515406,-4.0920525,5.8638663,21,5,14,0
DOC,4.55805,-14.444362,1.1826606,16,2,8,6
DOV,-5.0480022,0.95590204,4.5216293,7,3,6,11
DPZ,6.014303,13.3701,6.221179,4,12,2,9
DRI,-0.7897036,-7.6076856,3.064138,-1,11,-1,1
DTE,5.760395,-14.176612,-7.1078076,17,10,5,12
DUK,9.258655,-14.466597,-6.9339166,17,10,5,12
DVA,11.003634,2.5140798,-6.5572467,15,6,11,2
DVN,-14.778647,-14.922342,-6.8158216,11,4,9,14
DXCM,8.548084,14.849054,1.4113675,4,12,2,9
EA,7.51721,18.481894,-2.5798619,4,12,-1,9
EBAY,2.9109948,12.013596,-4.563545,4,12,2,9
ECL,-1.1131121,2.996941,-1.1194279,5,13,2,3
ED,12.467103,-13.18441,-6.1585326,17,10,5,12
EFX,3.1694272,9.08758,-1.6634349,4,13,2,9
EG,-12.365842,-11.333471,10.672479,14,0,3,10
EIX,6.577381,-10.096729,-5.734465,17,10,5,12
EL,3.65621,-1.645433,-0.5702581,-1,6,-1,1
ELV,8.818767,3.066845,-13.014208,15,6,13,2
EMN,-7.9294057,2.2282703,-2.3606846,8,3,6,11
EMR,-8.055109,1.2420219,4.1362796,7,3,6,11
ENPH,6.3488026,17.266422,4.257062,4,12,2,9
EOG,-17.158503,-13.048824,-5.326884,11,4,9,14
EPAM,1.2633729,13.488124,-2.1537087,4,12,2,9
EQIX,10.167975,-14.610736,3.1537678,16,2,8,6
EQR,3.0481796,-17.843693,0.40770584,16,2,8,6
EQT,-14.314608,-6.7687135,-5.996633,-1,4,-1,14
ES,11.617296,-11.246831,-7.174075,17,10,5,12
ESS,3.3546126,-16.364012,-0.5567993,16,2,8,6
ETN,-7.160307,3.3514776,4.4309974,7,3,6,11
ETR,8.23009,-12.70317,-7.9760494,17,10,5,12
ETSY,3.678865,13.298229,-4.6330605,4,12,2,9
EVRG,9.306518,-12.704084,-4.683482,17,10,5,12
EW,9.489555,10.551829,-6.8111796,1,1,0,4
EXC,7.387052,-11.97849,-6.6330605,17,10,5,12
EXPD,-4.908157,5.7789416,11.217066,20,9,16,0
EXPE,-4.6592174,-10.254734,0.14922693,6,14,1,1
EXR,7.6661897,-17.016598,0.48030105,16,2,8,6
F,-7.327522,-4.2600365,-0.14797771,22,11,18,0
FANG,-15.239924,-15.648328,-5.208738,11,4,9,14
FAST,-3.3579023,3.673516,9.309468,20,9,16,0
FCX,-12.003531,1.2353932,-0.42317936,8,3,6,11
FDS,6.4331408,7.1712847,2.4174812,3,5,-1,13
