,0,1,2
ECL,-1.1131121,2.996941,-1.1194279
ED,12.467103,-13.18441,-6.1585326
EFX,3.1694272,9.08758,-1.6634349
EG,-12.365842,-11.333471,10.672479
EIX,6.577381,-10.096729,-5.734465
EL,3.65621,-1.645433,-0.5702581
ELV,8.818767,3.066845,-13.014208
EMN,-7.9294057,2.2282703,-2.3606846
EMR,-8.055109,1.2420219,4.1362796
ENPH,6.3488026,17.266422,4.257062
EOG,-17.158503,-13.048824,-5.326884
EPAM,1.2633729,13.488124,-2.1537087
EQIX,10.167975,-14.610736,3.1537678
EQR,3.0481796,-17.843693,0.40770584
EQT,-14.314608,-6.7687135,-5.996633
ES,11.617296,-11.246831,-7.174075
ESS,3.3546126,-16.364012,-0.5567993
ETN,-7.160307,3.3514776,4.4309974
ETR,8.23009,-12.70317,-7.9760494
ETSY,3.678865,13.298229,-4.6330605
EVRG,9.306518,-12.704084,-4.683482
EW,9.489555,10.551829,-6.8111796
EXC,7.387052,-11.97849,-6.6330605
EXPD,-4.908157,5.7789416,11.217066
EXPE,-4.6592174,-10.254734,0.14922693
EXR,7.6661897,-17.016598,0.48030105
F,-7.327522,-4.2600365,-0.14797771
FANG,-15.239924,-15.648328,-5.208738
FAST,-3.3579023,3.673516,9.309468
FCX,-12.003531,1.2353932,-0.42317936
FDS,6.4331408,7.1712847,2.4174812
FDX,-6.1774774,8.121603,9.813191
FE,7.6960087,-10.571232,-8.096194
FFIV,-1.1237552,11.4370365,3.3379
FI,3.211245,5.438051,-4.035607
FICO,3.9137044,10.559227,0.9602994
FIS,4.5130506,5.302543,-4.827049
FITB,-16.261047,-2.0285454,7.325773
FMC,-10.068163,0.93271667,-1.2683076
FRT,0.016506337,-14.761702,0.88025194
FSLR,7.121893,17.524767,4.970858
FTNT,2.4826086,15.66625,2.5150907
GD,-6.3273587,-4.2979794,8.245058
GE,-7.786963,-4.044238,2.0655403
GEN,1.919213,14.026228,6.7490306
GILD,17.900486,4.3607635,-5.309005
GIS,13.829804,-2.6389515,0.85996616
GL,-13.937455,-7.4477496,8.177045
GLW,-2.792013,6.1346364,1.0421622
GM,-8.019427,-4.013401,-0.6173839
GNRC,0.010388023,10.777181,-2.744354
GOOG,1.9463943,20.57723,-1.6351962
GOOGL,2.45532,20.22335,-2.6956897
GPC,-3.68247,-2.993112,3.8247757
GPN,3.400063,5.8513975,-5.6592736
GRMN,-0.77055734,8.955129,-1.3236737
GS,-15.892487,-3.4075894,2.9552283
GWW,-3.888487,3.0021853,9.036938
HAL,-15.044839,-13.524821,-5.509144
HAS,1.264771,-1.6870186,1.8450204
HBAN,-19.345531,-3.0529964,7.7151527
HCA,1.8370432,-8.540478,6.7580934
HD,3.185247,0.44550568,5.400565
HES,-16.754932,-12.959353,-6.984566
HIG,-11.284026,-9.189538,7.0961456
HII,-6.861427,-4.388392,9.635507
HLT,-4.4264226,-11.8247595,1.2100878
HOLX,12.129131,7.5353312,-1.950806
HON,-6.1124654,-1.4781599,5.159218
HPE,-3.5546062,10.607638,5.129637
HPQ,-3.7527895,10.336287,3.7655373
HRL,12.44628,-3.5563216,0.5044375
HSIC,9.589551,2.5303698,-7.1299195
HST,-2.4768171,-10.989794,0.54928213
HSY,10.672725,-4.313738,-0.4857809
HUBB,-6.1101003,2.5318384,3.4432685
HUM,10.531691,3.4647713,-13.931293
IBM,-1.8091015,9.207816,6.4762497
ICE,8.434987,6.986917,4.2531734
IDXX,9.464605,11.067238,-2.675097
IEX,-3.979995,3.9055862,5.9059052
IFF,-2.3341887,2.6274533,-3.565387
ILMN,11.547592,13.867878,-0.7028131
INCY,19.687672,3.8028314,-7.580417
INTC,-3.4084778,15.021237,-2.0360823
INTU,1.8581718,16.033527,-2.685546
IP,-7.906088,4.9574847,-3.904224
IPG,-3.691866,-4.8147106,-1.5780078
IQV,10.950926,9.711074,-0.8060982
IRM,6.4964566,-16.085478,3.1747692
ISRG,8.305641,10.750957,-6.170395
IT,1.1175108,8.004711,2.6565435
ITW,-4.900905,0.81999725,6.3281727
IVZ,-13.791945,-4.4383907,1.0720774
J,-6.36873,4.0521035,1.4648957
JBHT,-6.427371,6.038068,11.321946
JBL,-3.8619423,9.587249,1.9107206
JCI,-4.7433248,1.4034905,2.2407684
JKHY,5.1947646,6.564547,-2.561782
JNJ,15.034396,5.2014675,-6.918715
JNPR,-1.4393891,11.930397,4.8698783
JPM,-15.812923,-4.590635,5.0375986
K,11.731069,-1.9046688,0.38428438
KDP,5.7553926,-6.6523533,-3.5216463
KEY,-17.931734,-1.6302576,8.053641
KEYS,-1.1734811,12.916087,-0.7120852
KHC,11.438728,-1.7532998,-1.9255625
KIM,0.98659945,-14.015889,1.7650316
KLAC,-4.540133,17.88027,-1.9400657
KMB,12.995002,-6.2259593,-0.16035075
KMI,-12.255803,-12.442429,-5.3334513
KMX,1.2739125,-1.9367195,3.5684664
KO,10.838673,-4.958306,-3.8508205
KR,9.585813,-2.9823506,4.2105293
L,-14.053223,-9.033979,6.9506707
LDOS,-5.2940316,-5.696438,9.570694
LEN,-3.2268314,5.038381,-11.370572
LH,12.011414,6.1245303,-1.0565164
LHX,-5.325267,-4.359968,10.367275
LIN,-3.5786939,4.736906,-1.6196638
LKQ,-3.2503867,-2.419693,2.48743
LLY,16.582218,5.0449967,-8.797423
LMT,-6.2350774,-3.1831982,10.796644
LNT,9.686106,-14.346519,-8.951359
LOW,2.5964832,-0.13409995,5.252197
LRCX,-5.731749,18.291828,-0.32468063
LULU,4.3683186,-3.2223842,1.5131854
LUV,-8.932714,-8.540733,1.9184302
LVS,-4.7749825,-12.702186,4.541302
LYB,-8.510159,1.5824594,-3.5320208
LYV,-3.6689615,-8.977976,0.34833696
MA,2.265636,7.2985153,-5.5524883
MAA,5.275432,-17.515728,0.8282035
MAR,-5.5719438,-11.679199,1.451968
MAS,-0.10181446,1.6787742,4.653443
MCD,1.8107871,0.3445198,-2.7595475
MCHP,-7.299087,16.955494,-0.51048934
