Date,Spread
2016-01-04,-0.7893025425216299
2016-01-05,-0.6863149813879118
2016-01-06,-0.7129678059755469
2016-01-07,-0.8358351569532992
2016-01-08,-0.8301268628993604
2016-01-11,-0.6842771822780499
2016-01-12,-0.6016827264211977
2016-01-13,-0.700874945104448
2016-01-14,-0.7254863202276076
2016-01-15,-0.9211546940852442
2016-01-19,-0.7271888224240699
2016-01-20,-0.7547655546364637
2016-01-21,-0.6785977902617648
2016-01-22,-0.6494231546015015
2016-01-25,-0.7150685651600541
2016-01-26,-0.7113842293673509
2016-01-27,-0.6675389562497409
2016-01-28,-0.8505334075924456
2016-01-29,-0.38006191664043565
2016-02-01,-0.357450600666106
2016-02-02,-0.2564591999683054
2016-02-03,-0.10620771049555926
2016-02-04,-0.24211094294521104
2016-02-05,-0.2921222298989386
2016-02-08,-0.8663372662998124
2016-02-09,-0.8981232136462434
2016-02-10,-0.6582976828789555
2016-02-11,-0.8839699434087324
2016-02-12,-0.7833773542054799
2016-02-16,-0.7855856227672373
2016-02-17,-0.7031984888998613
2016-02-18,-0.7388639118986778
2016-02-19,-0.7630516252766534
2016-02-22,-0.5502178663650077
2016-02-23,-0.5607921339077618
2016-02-24,-0.6504426062625979
2016-02-25,-0.4580349064524788
2016-02-26,-0.592883340348187
2016-02-29,-0.5911983293549631
2016-03-01,-0.47190832235313473
2016-03-02,-0.5214011378746971
2016-03-03,-0.5887438946303665
2016-03-04,-0.6269771520797247
2016-03-07,-0.8495500371735499
2016-03-08,-0.9678740118856203
2016-03-09,-0.9932144609220575
2016-03-10,-1.0594917426387203
2016-03-11,-0.9495172000738888
2016-03-14,-1.0136865434014941
2016-03-15,-0.9793671841278914
2016-03-16,-0.95496386534356
2016-03-17,-0.9504007578805554
2016-03-18,-0.915941489911542
2016-03-21,-0.9227688314499221
2016-03-22,-1.0302454620545307
2016-03-23,-0.8667399395612453
2016-03-24,-0.7911473464816863
2016-03-28,-0.7262588713765127
2016-03-29,-0.6227521044612818
2016-03-30,-0.43818125571493294
2016-03-31,-0.5836623157351968
2016-04-01,-0.5016907132702259
2016-04-04,-0.3541313512479028
2016-04-05,-0.45968346634052615
2016-04-06,-0.23662027750283415
2016-04-07,-0.22935693901537424
2016-04-08,-0.16409082554292673
2016-04-11,-0.17252585959078956
2016-04-12,-0.06570171876506485
2016-04-13,-0.02681925202845744
2016-04-14,0.05912387284471797
2016-04-15,-0.05455062120834102
2016-04-18,0.12814924752542942
2016-04-19,0.025977867850352384
2016-04-20,0.03617360960237974
2016-04-21,-0.00022073423561525912
2016-04-22,-0.3550033451460627
2016-04-25,-0.5112249105311112
2016-04-26,-0.46016548666751467
2016-04-27,-0.5392713278665977
2016-04-28,-0.6344969633521079
2016-04-29,-0.7080582021770015
2016-05-02,-0.5335424151918895
2016-05-03,-0.6561168422795435
2016-05-04,-0.658943912446166
2016-05-05,-0.5889156529381143
2016-05-06,-0.5676421172721219
2016-05-09,-0.4635890810994018
2016-05-10,-0.35753749142258373
2016-05-11,-0.6275495604437038
2016-05-12,-0.4341397471016275
2016-05-13,-0.607600735532799
2016-05-16,-0.4886012593528888
2016-05-17,-0.6442130778453317
2016-05-18,-0.5085591389760515
2016-05-19,-0.519961923181335
2016-05-20,-0.4377706635229922
2016-05-23,-0.49241648607477223
2016-05-24,-0.18347681436258592
2016-05-25,-0.249558221870217
2016-05-26,-0.25446027660123016
2016-05-27,-0.20402127611530388
2016-05-31,-0.2116730825291985
2016-06-01,-0.21011969681450857
2016-06-02,-0.10607810842222824
2016-06-03,-0.009382296054473072
2016-06-06,0.05011127443353645
2016-06-07,0.058502678171670985
2016-06-08,0.13441135990438655
2016-06-09,0.16244798817826286
2016-06-10,0.13817540724901575
2016-06-13,-0.13017466246783324
2016-06-14,-0.08390956716912466
2016-06-15,-0.08131043761275071
2016-06-16,-0.1282510343792961
2016-06-17,-0.3320408997739247
2016-06-20,-0.3792422379012893
2016-06-21,-0.4698158465855072
2016-06-22,-0.5216132460005432
2016-06-23,-0.34393472207242404
2016-06-24,-0.5421225139345086
2016-06-27,-0.6347383433785788
2016-06-28,-0.39607456603598457
2016-06-29,-0.2514663873373212
2016-06-30,-0.3368065430900402
2016-07-01,-0.36129785684317717
2016-07-05,-0.24903772723284273
2016-07-06,-0.2176533173660915
2016-07-07,-0.23380664675243235
2016-07-08,0.09421136161723705
2016-07-11,0.09385179572845448
2016-07-12,0.15717292814224176
2016-07-13,0.11327662872147519
2016-07-14,0.13200534162588198
2016-07-15,0.2272761130658526
2016-07-18,0.15151728216426008
2016-07-19,0.1499302082755543
2016-07-20,0.1820617645340745
2016-07-21,0.15584343125078579
2016-07-22,0.259764842144972
2016-07-25,0.1256445577930607
2016-07-26,-0.022207728119359293
2016-07-27,-0.05073226706892045
2016-07-28,-0.17011505517592285
2016-07-29,-0.32840004121684907
2016-08-01,-0.2629702360646553
2016-08-02,-0.27955971547417224
2016-08-03,-0.16629909410468258
2016-08-04,-0.0954340345172297
2016-08-05,-0.06476937464932422
2016-08-08,-0.09444664925734861
2016-08-09,-0.06122571884741919
2016-08-10,-0.09615227887134654
2016-08-11,-0.028406325917164764
2016-08-12,-0.0024595635538560245
2016-08-15,0.15381707992136837
2016-08-16,0.22745397851117485
2016-08-17,0.23746629738613487
2016-08-18,0.150762956567944
2016-08-19,0.20006155659930294
2016-08-22,0.26203330785021395
2016-08-23,0.14734930427176632
2016-08-24,0.12486961357597218
2016-08-25,0.12441299800612286
2016-08-26,0.07640692620056776
2016-08-29,0.10557327844395144
