Date,Spread
2016-01-04,-0.9516325150600602
2016-01-05,-0.9487650256487521
2016-01-06,-0.9085377172817614
2016-01-07,-0.9180426933526886
2016-01-08,-0.8619131321825247
2016-01-11,-0.6193855698001438
2016-01-12,-0.5021739329157374
2016-01-13,-0.4592993505474071
2016-01-14,-0.5653817229510566
2016-01-15,-0.6571262837164934
2016-01-19,-0.6575884999851832
2016-01-20,-0.667213113477266
2016-01-21,-0.531792056936487
2016-01-22,-0.5226277904712214
2016-01-25,-0.3914181947797231
2016-01-26,-0.6513111720596984
2016-01-27,-0.5693925732116482
2016-01-28,-0.4040122362797528
2016-01-29,-0.6126890308008563
2016-02-01,-0.7331300864483588
2016-02-02,-0.6867666602644146
2016-02-03,-0.6128286830531158
2016-02-04,-0.6229365401123306
2016-02-05,-0.5128826827834487
2016-02-08,-0.3755756335286156
2016-02-09,-0.30518944664916076
2016-02-10,-1.0045942182610694
2016-02-11,-1.1034978824349762
2016-02-12,-1.0090860328370925
2016-02-16,-1.1198419266659088
2016-02-17,-1.2156777654705417
2016-02-18,-1.1584848776610541
2016-02-19,-1.2824755797677965
2016-02-22,-1.2855849143450286
2016-02-23,-1.3202174250894088
2016-02-24,-1.3359393935206025
2016-02-25,-1.3757454291242257
2016-02-26,-1.4989928398401022
2016-02-29,-1.3802765152121381
2016-03-01,-1.5284118328179148
2016-03-02,-1.4389138538241888
2016-03-03,-1.3247096496752564
2016-03-04,-1.3067212035791662
2016-03-07,-1.279749320778719
2016-03-08,-1.2328036879636814
2016-03-09,-1.1128639228483217
2016-03-10,-1.0662206467709263
2016-03-11,-1.1654246795026764
2016-03-14,-1.0620491169596333
2016-03-15,-1.0302435988859442
2016-03-16,-1.0630316058105276
2016-03-17,-0.8001310604159757
2016-03-18,-0.9517150983516931
2016-03-21,-0.9092423396182528
2016-03-22,-1.0648974483143752
2016-03-23,-1.0384063741365541
2016-03-24,-0.9771429648281087
2016-03-28,-0.9777445587183347
2016-03-29,-0.9965760174195641
2016-03-30,-1.0369233732175365
2016-03-31,-1.065639452607176
2016-04-01,-0.982518424128991
2016-04-04,-0.9306601507392762
2016-04-05,-0.8486815692672524
2016-04-06,-0.9234003136491961
2016-04-07,-0.8380121847349002
2016-04-08,-0.6879933461144635
2016-04-11,-0.7037351736839592
2016-04-12,-0.7606660825585003
2016-04-13,-0.9564080892190351
2016-04-14,-1.0152043735190128
2016-04-15,-0.9766621929603662
2016-04-18,-1.0881191108217756
2016-04-19,-0.9643905800976657
2016-04-20,-1.472223202866898
2016-04-21,-1.5275894578150906
2016-04-22,-1.3764672261382385
2016-04-25,-1.4150506412741202
2016-04-26,-1.461875369883635
2016-04-27,-1.5346097860595365
2016-04-28,-1.3388070753795962
2016-04-29,-1.194201270464037
2016-05-02,-1.2875304999869264
2016-05-03,-1.1759124558101035
2016-05-04,-1.0374639149478662
2016-05-05,-1.1014942356788098
2016-05-06,-1.1530116805249433
2016-05-09,-1.2134328189373835
2016-05-10,-1.1861205379168849
2016-05-11,-1.2018220244385653
2016-05-12,-1.1693153469531834
2016-05-13,-1.2608401023184828
2016-05-16,-1.3258138579505703
2016-05-17,-1.313018603404338
2016-05-18,-1.3969219404682587
2016-05-19,-1.4293683810126458
2016-05-20,-1.5043279213382872
2016-05-23,-1.4102772061869924
2016-05-24,-1.5257250948569938
2016-05-25,-1.453112013210142
2016-05-26,-1.452690621508858
2016-05-27,-1.4952844401406165
2016-05-31,-1.5316414072738145
2016-06-01,-1.4725438976414527
2016-06-02,-1.6460060366564244
2016-06-03,-1.5572699210938012
2016-06-06,-1.5320036112563242
2016-06-07,-1.4949642124444744
2016-06-08,-1.6328917593290737
2016-06-09,-1.67703072569013
2016-06-10,-1.4881261151961678
2016-06-13,-1.6038548294720747
2016-06-14,-1.6032128945340367
2016-06-15,-1.4948037872107953
2016-06-16,-1.4291682375023675
2016-06-17,-1.4406991699252125
2016-06-20,-1.510264596726698
2016-06-21,-1.4695960007652422
2016-06-22,-1.5441946609613175
2016-06-23,-1.6494752756507618
2016-06-24,-1.5157984978822145
2016-06-27,-1.3680451244593297
2016-06-28,-1.4829106140505552
2016-06-29,-1.6716754369131568
2016-06-30,-1.5462207730060402
2016-07-01,-1.6172303024695998
2016-07-05,-1.549930689006157
2016-07-06,-1.6376247798586236
2016-07-07,-1.6687478662536546
2016-07-08,-1.7629590066386285
2016-07-11,-1.7819302529712187
2016-07-12,-1.7285069359590315
2016-07-13,-1.7047836299782466
2016-07-14,-1.7357866689422956
2016-07-15,-1.6986678383779994
2016-07-18,-1.7184402767221665
2016-07-19,-1.694597042248318
2016-07-20,-1.7419034362549988
2016-07-21,-1.6890818320709573
2016-07-22,-1.6584003446560003
2016-07-25,-1.6685272408338614
2016-07-26,-1.8851443778132446
2016-07-27,-2.1082175489201207
2016-07-28,-2.0677707465385997
2016-07-29,-2.171126138557737
2016-08-01,-2.1627032168591755
2016-08-02,-2.1336864942809646
2016-08-03,-2.0932789015419977
2016-08-04,-1.1832713913432429
2016-08-05,-1.3894814708657082
2016-08-08,-1.343799500647963
2016-08-09,-1.2515731187925572
2016-08-10,-1.317248189529146
2016-08-11,-1.3579169411834053
2016-08-12,-1.1787200979765409
2016-08-15,-1.0710722719405912
2016-08-16,-1.0730167880465662
2016-08-17,-0.9358714308097792
2016-08-18,-0.9263066074939843
2016-08-19,-0.9609189477144569
2016-08-22,-1.0705505198126377
2016-08-23,-0.9306983527152444
2016-08-24,-0.8917344526285219
2016-08-25,-0.9897354697138033
2016-08-26,-1.2160585414932887
