Date,Spread
2016-01-04,-1.2138014783545452
2016-01-05,-1.1262349395817852
2016-01-06,-1.275206401563133
2016-01-07,-1.3169327196571923
2016-01-08,-1.371231516184536
2016-01-11,-1.3909875859753291
2016-01-12,-1.3871485981662037
2016-01-13,-1.4259511280343988
2016-01-14,-1.3473672836538342
2016-01-15,-1.4882946384870843
2016-01-19,-1.34740186874647
2016-01-20,-1.704137982206306
2016-01-21,-2.1104375261780053
2016-01-22,-1.9580259089096375
2016-01-25,-1.9455081142690274
2016-01-26,-1.8164443624702031
2016-01-27,-1.810750310510583
2016-01-28,-1.9195818866261796
2016-01-29,-1.5644309280715136
2016-02-01,-1.6594281865635125
2016-02-02,-1.8091443863594838
2016-02-03,-1.7831980600165984
2016-02-04,-1.7112246807333995
2016-02-05,-1.697486585394329
2016-02-08,-1.9427164745121013
2016-02-09,-1.9525186892116313
2016-02-10,-2.06776828585554
2016-02-11,-2.158788188984788
2016-02-12,-2.0574698027948917
2016-02-16,-2.0786040327605617
2016-02-17,-1.8522690270971047
2016-02-18,-1.7609189186224246
2016-02-19,-1.746359961884242
2016-02-22,-1.625513206111129
2016-02-23,-1.6385417555054569
2016-02-24,-1.7605742268843931
2016-02-25,-1.7153882615805176
2016-02-26,-1.6079147469397628
2016-02-29,-1.650922396146931
2016-03-01,-1.3251781454594977
2016-03-02,-1.4577229842599535
2016-03-03,-1.3485875843522932
2016-03-04,-1.1832782250667582
2016-03-07,-1.0728615578146334
2016-03-08,-1.1894283479874186
2016-03-09,-1.124789529907571
2016-03-10,-1.1699962644573765
2016-03-11,-0.9645269206060477
2016-03-14,-0.9593298713220818
2016-03-15,-1.0575175383244626
2016-03-16,-1.0102085474937987
2016-03-17,-1.0039421035885718
2016-03-18,-1.0146822349863112
2016-03-21,-1.0243127743627132
2016-03-22,-1.0151024435315859
2016-03-23,-1.0040396669648766
2016-03-24,-1.0315705414356897
2016-03-28,-1.053333858777307
2016-03-29,-0.9673531454556071
2016-03-30,-0.9604174167743564
2016-03-31,-0.9449224912069886
2016-04-01,-0.7808548724117289
2016-04-04,-0.8043744132044018
2016-04-05,-0.8994477952808878
2016-04-06,-0.9113515957153926
2016-04-07,-1.0810723347556612
2016-04-08,-1.07706100107752
2016-04-11,-1.0762400759097646
2016-04-12,-0.9339545958330269
2016-04-13,-0.8086958535279376
2016-04-14,-0.8899946073036973
2016-04-15,-0.9412193163052217
2016-04-18,-0.8736787565685702
2016-04-19,-0.37054967083797247
2016-04-20,-0.4002802374286656
2016-04-21,-0.5783344210164999
2016-04-22,-0.6608950139825738
2016-04-25,-0.6740204562073138
2016-04-26,-0.6351964865473037
2016-04-27,-0.6703532074899611
2016-04-28,-0.6909294681339738
2016-04-29,-0.7013795915863577
2016-05-02,-0.6724346307562522
2016-05-03,-0.7783783448303951
2016-05-04,-0.754493279285121
2016-05-05,-0.8015337019622444
2016-05-06,-0.8026231952835429
2016-05-09,-0.8044561490963312
2016-05-10,-0.6765781129033326
2016-05-11,-0.7832112104535373
2016-05-12,-0.7252797503014738
2016-05-13,-0.7656882043207693
2016-05-16,-0.8206210937542563
2016-05-17,-0.856617497472932
2016-05-18,-0.7686176048540756
2016-05-19,-0.7790677283064569
2016-05-20,-0.6816443548101355
2016-05-23,-0.7800804912660216
2016-05-24,-0.721598015191522
2016-05-25,-0.6038461161901562
2016-05-26,-0.5212093996395952
2016-05-27,-0.5213056219241226
2016-05-31,-0.5077392656768237
2016-06-01,-0.5663400106049099
2016-06-02,-0.5528698766421359
2016-06-03,-0.7506391983061534
2016-06-06,-0.659330628323326
2016-06-07,-0.6869376263786287
2016-06-08,-0.6809957755113945
2016-06-09,-0.6579511270566694
2016-06-10,-0.6935072235300317
2016-06-13,-0.639836907601391
2016-06-14,-0.58421463469184
2016-06-15,-0.5378428900134965
2016-06-16,-0.5342316661805921
2016-06-17,-0.5914944483338769
2016-06-20,-0.5418561715606605
2016-06-21,-0.5539122191641408
2016-06-22,-0.5403458629168421
2016-06-23,-0.42964540680404545
2016-06-24,-0.9060022992624499
2016-06-27,-1.082961983998789
2016-06-28,-0.9907563652637151
2016-06-29,-0.7873691789932145
2016-06-30,-0.7596847162616448
2016-07-01,-0.8834746884147708
2016-07-05,-1.0006347035477337
2016-07-06,-1.0910468953242058
2016-07-07,-1.171332949909044
2016-07-08,-1.0892340402114553
2016-07-11,-1.0840570896275283
2016-07-12,-1.0216374555903542
2016-07-13,-1.1527273400855538
2016-07-14,-1.1327436338558274
2016-07-15,-1.0396567938528851
2016-07-18,-0.9884320848513608
2016-07-19,-1.0365612665352495
2016-07-20,-1.212684932933992
2016-07-21,-1.0779069667068653
2016-07-22,-1.0990972215569883
2016-07-25,-1.0111112085534821
2016-07-26,-0.7960667434329594
2016-07-27,-0.7003045846576571
2016-07-28,-0.881282556471353
2016-07-29,-0.9394624860769218
2016-08-01,-0.887376654507564
2016-08-02,-1.0229748115879116
2016-08-03,-1.0223262322891706
2016-08-04,-1.1009309096843098
2016-08-05,-1.0233050169333464
2016-08-08,-0.9554958890431519
2016-08-09,-1.001790169045232
2016-08-10,-1.0713373695554635
2016-08-11,-1.0238774726475977
2016-08-12,-1.0817874930078462
2016-08-15,-1.12575382815915
2016-08-16,-1.1347904720294841
2016-08-17,-1.1229061635177742
2016-08-18,-1.1426628400858112
2016-08-19,-1.1044113261400512
2016-08-22,-1.0620528630088681
2016-08-23,-1.0295714608385718
2016-08-24,-1.0423723100253217
2016-08-25,-1.0777962580297438
2016-08-26,-1.0245662493464165
