Date,Spread
2016-01-04,-1.1422187919592253
2016-01-05,-1.1098151904656242
2016-01-06,-1.110803676202654
2016-01-07,-1.1185117859567744
2016-01-08,-1.0474983210816278
2016-01-11,-1.1683460633280571
2016-01-12,-1.060489920983164
2016-01-13,-0.9918564131693347
2016-01-14,-1.05533557817369
2016-01-15,-1.0683010376957667
2016-01-19,-1.0597821582281146
2016-01-20,-1.0033436942179952
2016-01-21,-0.9762232033493936
2016-01-22,-0.9303926663709637
2016-01-25,-0.9575403902815668
2016-01-26,-0.9296449341329008
2016-01-27,-0.9022370511643591
2016-01-28,-1.0456733757471883
2016-01-29,-0.8268949679747859
2016-02-01,-0.7722315176403992
2016-02-02,-0.7127148670419212
2016-02-03,-0.6390611805045848
2016-02-04,-0.65073790781197
2016-02-05,-0.6448140339506165
2016-02-08,-0.6643528985566861
2016-02-09,-0.7214303426072257
2016-02-10,-0.7080265321587735
2016-02-11,-0.756837655184188
2016-02-12,-0.6884236960517697
2016-02-16,-0.6881367735998809
2016-02-17,-0.67547407843942
2016-02-18,-0.6721232768093861
2016-02-19,-0.6806666380896752
2016-02-22,-0.6970718626228743
2016-02-23,-0.597122569481027
2016-02-24,-0.6012012651735935
2016-02-25,-0.1369327416882027
2016-02-26,-0.09159327922458398
2016-02-29,-0.12362724766387095
2016-03-01,-0.1805976199786824
2016-03-02,-0.2179784369838839
2016-03-03,-0.215385087482685
2016-03-04,-0.20273342554627066
2016-03-07,-0.12888150962752334
2016-03-08,-0.11343565460202325
2016-03-09,-0.12480851594573819
2016-03-10,-0.14652895240355146
2016-03-11,-0.22264697164924319
2016-03-14,-0.2070720658229329
2016-03-15,-0.2639787749051608
2016-03-16,-0.23464868214023482
2016-03-17,-0.20154459734935717
2016-03-18,-0.19038555853406994
2016-03-21,-0.18588084601237928
2016-03-22,-0.22164268470285156
2016-03-23,-0.2716969282357066
2016-03-24,-0.3596239655531845
2016-03-28,-0.3365100260933424
2016-03-29,-0.35571269015700807
2016-03-30,-0.3453374771954255
2016-03-31,-0.3007726285151415
2016-04-01,-0.26815288588030806
2016-04-04,-0.2533096368223134
2016-04-05,-0.26096892271666905
2016-04-06,-0.2048160552167796
2016-04-07,-0.15849568601735428
2016-04-08,-0.14518252286616687
2016-04-11,-0.14392719260968517
2016-04-12,-0.1840636408442523
2016-04-13,-0.21177242379235703
2016-04-14,-0.22812972426867995
2016-04-15,-0.20442996991292456
2016-04-18,-0.23595488976302204
2016-04-19,-0.24499753904136115
2016-04-20,-0.18622726664730793
2016-04-21,-0.24399629272111822
2016-04-22,-0.37605235835113865
2016-04-25,-0.35702820364467336
2016-04-26,-0.32077923086842697
2016-04-27,-0.29093103608101895
2016-04-28,-0.6781276265891044
2016-04-29,-0.863082654710642
2016-05-02,-0.9618955717262488
2016-05-03,-0.974333691591508
2016-05-04,-0.9588110014669391
2016-05-05,-0.8904502139568183
2016-05-06,-0.960393213511657
2016-05-09,-0.9129353881981285
2016-05-10,-0.971176608993498
2016-05-11,-1.0791860225807426
2016-05-12,-1.0454054348963202
2016-05-13,-1.0029344610564201
2016-05-16,-0.9681243699249464
2016-05-17,-0.9796315576605816
2016-05-18,-0.9852712858633759
2016-05-19,-0.998430704174384
2016-05-20,-0.9445356644845462
2016-05-23,-0.9599107446771801
2016-05-24,-0.9658681232307622
2016-05-25,-1.0177547628012922
2016-05-26,-0.9879038788181741
2016-05-27,-1.003849902773046
2016-05-31,-1.0798286285849612
2016-06-01,-1.0524207672306083
2016-06-02,-1.0259661595618885
2016-06-03,-1.0485442909883675
2016-06-06,-0.9868068960577101
2016-06-07,-0.9624707200312458
2016-06-08,-0.9243536927462555
2016-06-09,-0.8944489555469595
2016-06-10,-0.8986997275667982
2016-06-13,-0.9342381672724543
2016-06-14,-0.9000992969656256
2016-06-15,-0.8822024051655646
2016-06-16,-0.8758987544011733
2016-06-17,-0.8273538501380963
2016-06-20,-0.847364324408976
2016-06-21,-0.8584697435681043
2016-06-22,-0.9021000686584433
2016-06-23,-0.8823876620179321
2016-06-24,-0.8728951741438118
2016-06-27,-0.9353027784226944
2016-06-28,-0.9171962874422362
2016-06-29,-0.8714912098042963
2016-06-30,-0.7338002244425537
2016-07-01,-0.7312597104842242
2016-07-05,-0.6985375027192783
2016-07-06,-0.6990084931047635
2016-07-07,-0.7297282638513782
2016-07-08,-0.7231507254786959
2016-07-11,-0.723238229349502
2016-07-12,-0.7148506013587541
2016-07-13,-0.7027547978579647
2016-07-14,-0.6911157177519117
2016-07-15,-0.6695247992149461
2016-07-18,-0.6762773113875646
2016-07-19,-0.6895838853997605
2016-07-20,-0.6683505552166433
2016-07-21,-0.4260620131206869
2016-07-22,-0.30141053658095773
2016-07-25,-0.3167737304292999
2016-07-26,-0.3507435091982388
2016-07-27,-0.32077323846831873
2016-07-28,-0.3748275343965735
2016-07-29,-0.3945596700008059
2016-08-01,-0.4184505763602644
2016-08-02,-0.4572645639936547
2016-08-03,-0.4151575618976551
2016-08-04,-0.42577240795087673
2016-08-05,-0.45343654102827263
2016-08-08,-0.5007329933560349
2016-08-09,-0.4999998301801829
2016-08-10,-0.4984081534188994
2016-08-11,-0.47637362997863814
2016-08-12,-0.47753300284326716
2016-08-15,-0.49357616691187584
2016-08-16,-0.5144381175953343
2016-08-17,-0.49809337836478185
2016-08-18,-0.4191407547100197
2016-08-19,-0.390027986089111
2016-08-22,-0.31205886176244296
2016-08-23,-0.30969366409497706
2016-08-24,-0.31206433021320507
2016-08-25,-0.3059629674105834
2016-08-26,-0.3973627646447994
