,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross,best_threshold,best_return
42,ACGL,HUBB,-4.102493685,0.005101407,3.912461201,0.003240232,0.437083597,51.77334761,55,0.8,4.559858021582045
43,ACN,BX,-4.537676131,0.001061228,0.417582229,0.001748956,0.396964769,43.46056975,68,0.9500000000000002,13.943732741454246
44,ACN,CBRE,-4.310693025,0.002463868,0.267232832,0.000470555,0.391419147,43.83254321,94,1.0000000000000002,7.238391553682516
45,ACN,EXPD,-4.75582002,0.000451156,0.304302849,5.78e-05,0.426424202,31.94625656,137,0.8,7.379403236122298
46,ACN,HD,-5.300639785,4.44e-05,0.920763264,9.26e-07,0.368679281,24.78577327,115,0.8,6.598381735835138
47,ACN,IQV,-3.984724074,0.007549706,0.72289148,0.000491372,0.399637696,40.04120403,103,0.8,7.804412960828827
48,ACN,J,-4.709818221,0.000542301,0.392091742,7.78e-05,0.412679484,35.33318994,113,0.8,6.4189793649777815
49,ACN,JBHT,-4.199618199,0.003652692,0.469394733,0.000241652,0.404693779,37.02688602,88,0.9500000000000002,7.418326864956301
50,ACN,LH,-4.069981496,0.005692643,0.52016208,0.000307588,0.394365784,38.11198221,80,0.9000000000000001,8.44757346182314
51,ACN,LOW,-4.800987256,0.000375889,0.699184275,8.24e-05,0.383104919,32.29280622,88,1.0000000000000002,8.886185083724808
52,ACN,LYV,-3.715621645,0.017495012,0.293724797,0.002867031,0.408188301,45.49931019,83,0.9000000000000001,15.833448434319873
53,ACN,MOH,-3.683320799,0.019249842,1.250181706,0.007403269,0.461382609,57.10329882,82,0.8,6.549858746001921
54,ACN,MSCI,-3.759444595,0.015339001,2.170341596,0.001377351,0.43914736,45.82685131,74,1.0500000000000003,3.25438628601011
55,ACN,NDSN,-3.984010656,0.00756732,0.658392911,0.002102679,0.413441023,43.58716477,93,0.8500000000000001,8.787668564500523
56,ACN,PLD,-3.792833182,0.013856955,0.38135731,0.002075073,0.454330242,47.1516033,112,0.9000000000000001,5.161945769554849
57,ACN,SHW,-4.441603056,0.001525038,0.869561808,0.000333005,0.377257384,32.52801809,111,1.0000000000000002,5.420569144125704
58,ACN,STE,-4.128572672,0.004668174,0.678266088,0.001123149,0.39709948,42.93762384,62,1.0500000000000003,6.560969240258121
59,ACN,T,-3.903578692,0.00980719,-0.051002726,0.003115898,0.378128551,45.22534968,74,1.800000000000001,1.4091113125084285
60,ACN,UNP,-3.835798323,0.01213689,0.592703447,0.001889876,0.407692351,48.18826255,77,0.8500000000000001,5.874985668618146
61,ACN,WST,-4.083642814,0.005437017,1.457974286,0.005132883,0.41892879,49.74672177,62,0.8,7.634291824809355
62,ADBE,COO,-3.852507769,0.011520934,0.109082159,0.002842193,0.422065947,53.59275644,69,0.9500000000000002,5.297948651577844
63,ADBE,EQIX,-3.89257886,0.010155744,0.968984875,0.001554347,0.394163533,42.1682774,97,0.8,8.689349249109828
64,ADI,AME,-5.291294789,4.63e-05,0.846829243,7.54e-06,0.358656623,23.04220375,173,0.8500000000000001,9.148722728480063
65,ADI,BRO,-4.006066257,0.007039569,0.424468045,0.003193118,0.398991095,43.75478491,80,0.8500000000000001,5.571830862716378
66,ADI,CDW,-4.393487723,0.00182263,1.316313351,0.00032385,0.391263233,32.78166164,117,0.8,13.283261668080788
67,ADI,CPRT,-3.739855338,0.016272037,0.301448253,0.007889111,0.389841896,49.14747997,86,0.8,8.446395080972719
68,ADI,CTAS,-3.805117747,0.013344394,3.331251855,0.009097023,0.382185572,48.93087078,86,0.8500000000000001,6.890517472154709
69,ADI,DOV,-3.835982341,0.01212995,0.832272859,0.002683359,0.405528654,43.8911338,100,0.8,5.247625167301766
70,ADI,ELV,-3.959597734,0.008192835,2.688642933,0.001036481,0.449624774,43.95872413,121,0.8,8.59238847781181
71,ADI,FAST,-3.954358648,0.008332987,0.327845261,0.001805199,0.393825369,40.13192677,127,0.8,7.366619281623258
72,ADI,FDS,-3.686710874,0.01905872,2.312456273,0.002330962,0.400454135,47.01966374,55,0.8500000000000001,7.177519561448233
73,ADI,HCA,-3.994951509,0.007301223,1.638357642,0.000491079,0.414245958,37.06894413,74,0.9000000000000001,18.083009520636885
74,ADI,HLT,-3.752993497,0.015640928,0.893252869,0.006239756,0.398935466,46.62488995,140,0.8,5.994265317273518
75,ADI,HOLX,-3.945032942,0.008587801,0.353946759,0.00106438,0.40064536,40.87453512,79,0.9000000000000001,6.903335456058002
76,ADI,LIN,-4.278828893,0.002761972,2.161011938,0.000600136,0.385664914,33.17170705,135,0.8,4.746587107424426
77,ADI,LOW,-3.926476776,0.009115735,1.29648368,0.001693552,0.410033059,41.83551583,95,0.9000000000000001,12.858248441239134
78,ADI,MCD,-3.757148476,0.015445872,1.191170273,0.000975499,0.394761508,35.71468751,128,0.9500000000000002,6.422042066705198
79,ADI,MCHP,-4.233891501,0.003239097,0.443330225,0.000626089,0.38710491,37.45644514,94,0.8,4.559954078124519
80,ADI,MDLZ,-4.389639258,0.001848623,0.23084479,7.99e-05,0.366127142,33.13111477,115,1.0500000000000003,11.11620655533286
81,ADI,MMC,-3.937952732,0.008785909,0.97164848,0.000929198,0.413473172,39.9914344,132,0.8,6.699984383197861
82,ADI,MNST,-4.136838014,0.004538038,0.248925885,0.0007133,0.380210621,40.75163151,105,0.9000000000000001,11.353066527315983
83,ADI,MOH,-3.799885979,0.013560596,2.34439056,0.002977608,0.415172446,44.98491662,61,0.8,43.36516622683632
84,ADI,MPWR,-3.708569029,0.017865733,4.017454926,0.010295977,0.432501838,59.35817725,98,0.9000000000000001,2.8283404223172965
85,ADI,MSFT,-4.114487488,0.004897808,2.36167557,0.002016131,0.403308522,45.23203883,72,0.9500000000000002,10.505813210921488
86,ADI,MSI,-3.816024885,0.012903447,1.743839541,0.00267993,0.396581308,40.49996948,84,1.0000000000000002,10.545100453055902
87,ADI,NDSN,-4.111544264,0.004947073,1.245941689,0.000511871,0.397181573,34.13395573,122,0.8,10.466054213126622
