,leg1,leg2,coint_t,coint_pvalue,hedge_ratio,adf_pvalue,hurst_exponent,half_life,zero_cross
0,A,AVY,-3.9920171338245876,0.007371750240243865,1.2457245359595834,0.001497052643133177,0.39767954924765897,37.00303485997136,117
1,A,DGX,-4.205360097340087,0.0035801857301361664,0.561827353318185,0.00016128625520652064,0.4225469465657398,36.591205292047114,96
2,A,MS,-3.8437081893101395,0.011841754497289015,0.5974350989505954,0.002614046795437925,0.407521644754973,50.032469002507455,78
3,A,MTD,-3.8145899552753195,0.012960710133678194,10.115934637230492,0.001257497222883408,0.4183622366855647,40.97688327534405,105
4,A,NDAQ,-4.611752940545274,0.00079763114116682,0.3951344583403612,0.00012132025166085188,0.37360524259149336,29.0434577455576,90
5,A,TXN,-4.087380468357172,0.005368920401054081,1.0940133207089078,0.0006901042919551803,0.4015095514814957,34.35107500988401,117
6,A,WTW,-3.72267980199891,0.01713076307408425,1.065470078822437,0.0023403071097945344,0.4320974399670455,49.40240821853362,89
7,AAL,AMGN,-3.759812983934822,0.015321915403762716,-2.435665781261654,0.01361689727548119,0.4017633550124229,51.06341254021508,97
8,AAL,APD,-3.776523938813158,0.014564293729431958,-3.8054665974858546,0.0027467498711485944,0.4186028881076538,52.41357867938485,74
9,AAL,CCL,-3.7019436816293347,0.01822023878957858,1.478702705581445,0.006149426764077147,0.40418820319625376,57.346805350070944,82
10,AAL,CHD,-3.8397032622660263,0.011990380693733774,-1.2557158415433733,0.019290945897432698,0.43220208393599563,65.08254393802342,93
11,AAL,LULU,-4.01845214872701,0.0067579901281826895,-8.807534369106115,0.003568635865115955,0.44440014103890546,58.54601471837948,106
12,AAL,MDLZ,-3.7846084933892015,0.01420977546148091,-0.6584902606054105,0.01598380790289825,0.42714541991653254,60.24869703291124,91
13,AAL,MO,-3.792106417140871,0.013887816307062314,0.6890428124040384,0.001955513795059845,0.4082012547995833,48.49811545115487,117
14,AAPL,DGX,-3.8324961541045823,0.012262022515589081,0.34783917907362816,0.0020975395939515453,0.42867544912798355,51.48161776389436,84
15,AAPL,FAST,-3.7527706921879482,0.015651448883852077,0.2496631927590226,0.0027828991590977963,0.3856544531822756,50.59773225384657,133
16,AAPL,HOLX,-3.9741212307200993,0.007815332056282102,0.2685420524448268,0.000605959120758539,0.40679426210398895,45.849604151122826,110
17,AAPL,ITW,-3.7410641153591033,0.016213051799490695,0.7641963756583443,0.0013346885101507356,0.4310756280377748,50.34030469956306,104
18,AAPL,LOW,-4.2873877865305765,0.0026787919518655146,0.9955275314527974,0.0003322887163541367,0.40366058036862645,38.28661600068463,99
19,AAPL,MCHP,-3.9433204538051356,0.008635345768932162,0.3229780610216959,0.0006973380541135955,0.38434620986835605,42.28147768195029,81
20,AAPL,MOH,-3.8429017396790996,0.011871550156395988,1.8093252718544572,0.001967638069109846,0.41078537012193284,51.600561126549344,100
21,AAPL,NDSN,-3.922477611942582,0.009233254876756634,0.9308940522029496,0.0007538165620152585,0.4276718839922418,45.19245665154251,101
22,AAPL,ODFL,-4.180939222033875,0.0038979727755948266,1.0237064470772481,0.0021259372297517563,0.4115389299557803,48.03045734021891,102
23,AAPL,T,-3.7348558620786783,0.016518007796032273,-0.07617267670598699,0.0014813617594919425,0.3753521291564685,40.648223033932794,99
24,ABBV,CI,-4.271933045071413,0.002830714215580247,1.591757858954102,0.00046242399761396263,0.4106324783620698,39.22885179021766,96
25,ABBV,NOC,-3.7279015550366714,0.016865580820597456,2.3568981548348034,0.001420260696624217,0.41079985328181423,47.05161727865202,96
26,ABBV,RJF,-4.100409772899428,0.005137558270358621,0.7227294238769255,0.001283772643210966,0.40444055933992057,49.692892013858035,62
27,ABBV,T,-3.9000592884381526,0.009917528418875244,-0.12112559850984615,0.0031815178786864435,0.4024633824799774,47.53521436924499,77
28,ABT,ADSK,-3.838022553803918,0.012053245401411021,2.3421693718550025,0.0015298297614640324,0.4206728590679684,46.85638108933748,89
29,ABT,APD,-3.8867358929501217,0.010345356899417764,1.9446730707796853,0.0032563986247751593,0.4083044706047767,55.818921469223696,95
30,ABT,AWK,-3.7656542860685693,0.01505323217074372,1.113525299837362,0.0005064230123935266,0.40154633522694994,41.06370767805159,124
31,ABT,EW,-3.737525421273394,0.01638626432215915,0.8661415207509842,0.0027553338527350115,0.41704935443861607,50.45427629529989,89
32,ABT,HON,-4.017459093936338,0.006780184850736391,1.1859341175754716,0.0014515804413975852,0.4445981655696636,48.82630620458131,81
33,ABT,LNT,-3.8197663039883425,0.012755193387242717,0.23874161785661913,0.00014701953663529907,0.4161574810753582,37.54049148327892,134
34,ABT,NEE,-3.7830418332443525,0.014277874202610178,0.6304931112790362,0.002695586053313611,0.4116182642308317,49.70765590551133,123
35,ABT,NSC,-4.989708704171934,0.0001719667942582773,1.994573299421987,1.4775896719214145e-05,0.4030687680220942,29.139213824879533,105
36,ABT,RMD,-4.062448431018225,0.005838221601961793,2.1728238641339845,0.010071138397881351,0.4036042547133787,56.23941885018056,95
37,ABT,TDY,-4.602164770058787,0.0008279010596543787,4.07686571538461,0.00012134316553689556,0.3698698731407869,34.54846012344894,135
38,ABT,UNP,-4.308507112313057,0.0024833283411113557,1.704409919288866,0.00038337667347346644,0.3931082514966729,36.51360247402003,105
39,ABT,VTRS,-3.9116884071138314,0.009557109666713436,-0.40761713844823694,0.0008326788656458967,0.3839949622996991,43.74425300069927,95
40,ABT,ZTS,-4.341105314678988,0.0022073343225205316,1.798154363680313,0.0004520104234411568,0.4029933522441173,38.9850885140447,115
